"","Date","Interest"
"1","04-01-2013","9.9"
"2","11-01-2013","9.78"
"3","18-01-2013","9.76"
"4","25-01-2013","9.66"
"5","01-02-2013","9.54"
"6","08-02-2013","9.6"
"7","15-02-2013","9.61"
"8","22-02-2013","9.56"
"9","01-03-2013","9.46"
"10","08-03-2013","9.41"
"11","15-03-2013","9.3"
"12","22-03-2013","9.29"
"13","29-03-2013","9.07"
"14","05-04-2013","9.09"
"15","12-04-2013","9.09"
"16","19-04-2013","9.06"
"17","26-04-2013","8.99"
"18","03-05-2013","9.03"
"19","10-05-2013","8.99"
"20","17-05-2013","8.79"
"21","24-05-2013","8.54"
"22","31-05-2013","8.48"
"23","07-06-2013","8.31"
"24","14-06-2013","8.29"
"25","21-06-2013","8.29"
"26","28-06-2013","8.3"
"27","05-07-2013","8.49"
"28","12-07-2013","8.78"
"29","19-07-2013","9.04"
"30","26-07-2013","9.31"
"31","02-08-2013","9.51"
"32","09-08-2013","9.66"
"33","16-08-2013","9.77"
"34","23-08-2013","9.92"
"35","30-08-2013","10.03"
"36","06-09-2013","10.43"
"37","13-09-2013","10.7"
"38","20-09-2013","10.91"
"39","27-09-2013","10.89"
"40","04-10-2013","11"
"41","11-10-2013","10.95"
"42","18-10-2013","10.85"
"43","25-10-2013","10.9"
"44","01-11-2013","10.83"
"45","08-11-2013","10.67"
"46","15-11-2013","10.58"
"47","22-11-2013","10.53"
"48","29-11-2013","10.51"
"49","06-12-2013","10.56"
"50","13-12-2013","10.58"
"51","20-12-2013","10.56"
"52","27-12-2013","10.73"
"53","03-01-2014","10.69"
"54","10-01-2014","11.28"
"55","17-01-2014","11.37"
"56","24-01-2014","11.47"
"57","31-01-2014","11.69"
"58","07-02-2014","12.53"
"59","14-02-2014","13.12"
"60","21-02-2014","13.12"
"61","28-02-2014","13.35"
"62","07-03-2014","13.4"
"63","14-03-2014","13.5"
"64","21-03-2014","13.49"
"65","28-03-2014","13.63"
"66","04-04-2014","13.65"
"67","11-04-2014","13.61"
"68","18-04-2014","13.48"
"69","25-04-2014","13.34"
"70","02-05-2014","13.21"
"71","09-05-2014","13"
"72","16-05-2014","12.98"
"73","23-05-2014","12.84"
"74","30-05-2014","12.69"
"75","06-06-2014","12.54"
"76","13-06-2014","12.34"
"77","20-06-2014","12.25"
"78","27-06-2014","12.02"
"79","04-07-2014","11.75"
"80","11-07-2014","11.53"
"81","18-07-2014","11.32"
"82","25-07-2014","11.24"
"83","01-08-2014","11.09"
"84","08-08-2014","11.1"
"85","15-08-2014","11.06"
"86","22-08-2014","11.01"
"87","29-08-2014","11.03"
"88","05-09-2014","11.02"
"89","12-09-2014","10.94"
"90","19-09-2014","10.9"
"91","26-09-2014","10.77"
"92","03-10-2014","10.72"
"93","10-10-2014","10.77"
"94","17-10-2014","10.81"
"95","24-10-2014","10.69"
"96","31-10-2014","10.77"
"97","07-11-2014","10.94"
"98","14-11-2014","10.9"
"99","21-11-2014","10.73"
"100","28-11-2014","11.08"
"101","05-12-2014","11.07"
"102","12-12-2014","10.99"
"103","19-12-2014","10.96"
"104","26-12-2014","11.03"
"105","02-01-2015","10.97"
"106","09-01-2015","11.08"
"107","16-01-2015","11.05"
"108","23-01-2015","11.02"
"109","30-01-2015","10.91"
"110","06-02-2015","10.85"
"111","13-02-2015","10.8"
"112","20-02-2015","10.79"
"113","27-02-2015","10.75"
"114","06-03-2015","10.76"
"115","13-03-2015","10.75"
