Kategori: Tüm kategoriler

Ay,satılık: (Türkiye)
2014-01,38
2014-02,40
2014-03,37
2014-04,40
2014-05,41
2014-06,40
2014-07,40
2014-08,46
2014-09,44
2014-10,42
2014-11,44
2014-12,42
2015-01,43
2015-02,50
2015-03,49
2015-04,45
2015-05,43
2015-06,40
2015-07,46
2015-08,46
2015-09,44
2015-10,45
2015-11,47
2015-12,47
2016-01,51
2016-02,58
2016-03,57
2016-04,56
2016-05,51
2016-06,50
2016-07,50
2016-08,55
2016-09,55
2016-10,57
2016-11,54
2016-12,52
2017-01,53
2017-02,61
2017-03,60
2017-04,56
2017-05,55
2017-06,54
2017-07,57
2017-08,54
2017-09,55
2017-10,55
2017-11,54
2017-12,52
2018-01,52
2018-02,55
2018-03,54
2018-04,51
2018-05,51
2018-06,48
2018-07,54
2018-08,50
2018-09,47
2018-10,44
2018-11,40
2018-12,40
2019-01,42
2019-02,45
2019-03,47
2019-04,42
2019-05,39
2019-06,46
2019-07,47
2019-08,54
2019-09,51
2019-10,50
2019-11,50
2019-12,50
2020-01,53
2020-02,54
2020-03,45
2020-04,43
2020-05,62
2020-06,100
2020-07,82
2020-08,71
2020-09,61
2020-10,60
2020-11,53
2020-12,52
2021-01,57
