"","x"
"1","22.9348964981"
"2","25.115"
"3","24.874"
"4","22.7474832681"
"5","25.272"
"6","26.441"
"7","28.747"
"8","25.771"
"9","20.119"
"10","24.32"
"11","23.883"
"12","23.808"
"13","26.1020336531"
"14","21.9859500976"
"15","24.0984595057"
"16","26.6088397838"
"17","26.5992851489"
"18","24.0039176033"
"19","25.0403558494"
"20","23.6686969339"
"21","23.8713148363"
"22","26.1166814344"
"23","24.7499412434"
"24","23.0196958233"
"25","23.6887236738"
"26","25.0014344316"
"27","20.6138617996"
"28","22.3738234344"
"29","19.7858553561"
"30","19.5335079588"
"31","22.2017219643"
"32","22.1566020113"
"33","18.1073021298"
"34","19.07054683"
"35","22.3711288423"
"36","22.7930621283"
"37","25.0903745866"
"38","21.0509832498"
"39","21.0062917376"
"40","23.7541995088"
"41","22.3474105009"
"42","24.5506621409"
"43","21.6176259282"
"44","24.6194204084"
"45","21.7189455392"
"46","23.2729481169"
"47","20.3282547337"
"48","16.6818279585"
"49","22.3597326168"
"50","21.0317279785"
"51","19.8580143346"
"52","25.0730763366"
"53","23.3311344562"
"54","22.0542907397"
"55","23.3283700222"
"56","22.3944828044"
"57","20.1638095243"
"58","21.0102282884"
"59","17.9931125801"
"60","17.4794261074"
"61","26.1638049602"
"62","25.6663279737"
"63","25.9774102712"
"64","28.1899112896"
"65","26.7867809473"
"66","24.5948936481"
"67","27.0992751758"
"68","25.3199225817"
"69","18.7687969965"
"70","19.1932997353"
"71","20.1114303098"
"72","20.5978266562"
"73","19.4407656069"
"74","22.5331429212"
"75","22.1507571549"
"76","29.695699862"
"77","21.647769545"
"78","22.4460905742"
"79","20.9836380169"
"80","23.650015504"
"81","20.243208719"
"82","21.3814196371"
"83","20.9982394424"
"84","21.6018504081"
"85","21.7729865438"
"86","23.0029682796"
"87","20.8742408316"
"88","21.0101161248"
"89","22.5688704487"
"90","23.8018705136"
"91","20.350651158"
"92","22.3842903464"
"93","23.3141044338"
"94","30.6473003127"
"95","27.8435572451"
"96","32.8309266546"
"97","34.6838262302"
"98","34.867379848"
"99","38.2707640427"
