"","X","Date","Konut"
"1",1,"2013-1",36581
"2",2,"2013-2",37150
"3",3,"2013-3",41809
"4",4,"2013-4",40812
"5",5,"2013-5",45270
"6",6,"2013-6",43763
"7",7,"2013-7",46053
"8",8,"2013-8",31559
"9",9,"2013-9",37835
"10",10,"2013-10",26337
"11",11,"2013-11",36600
"12",12,"2013-12",36343
"13",13,"2014-1",32046
"14",14,"2014-2",24059
"15",15,"2014-3",24465
"16",16,"2014-4",23447
"17",17,"2014-5",29760
"18",18,"2014-6",32029
"19",19,"2014-7",30912
"20",20,"2014-8",35338
"21",21,"2014-9",43144
"22",22,"2014-10",34451
"23",23,"2014-11",36925
"24",24,"2014-12",43113
"25",25,"2015-1",33178
"26",26,"2015-2",36952
"27",27,"2015-3",45315
"28",28,"2015-4",46063
"29",29,"2015-5",40086
"30",30,"2015-6",40503
"31",31,"2015-7",30754
"32",32,"2015-8",36021
"33",33,"2015-9",28684
"34",34,"2015-10",27996
"35",35,"2015-11",28553
"36",36,"2015-12",40283
"37",37,"2016-1",26584
"38",38,"2016-2",30455
"39",39,"2016-3",38822
"40",40,"2016-4",33429
"41",41,"2016-5",35423
"42",42,"2016-6",36371
"43",43,"2016-7",23756
"44",44,"2016-8",36458
"45",45,"2016-9",42083
"46",46,"2016-10",48110
"47",47,"2016-11",48941
"48",48,"2016-12",49076
"49",49,"2017-1",35993
"50",50,"2017-2",38676
"51",51,"2017-3",50424
"52",52,"2017-4",43334
"53",53,"2017-5",41738
"54",54,"2017-6",35210
"55",55,"2017-7",38575
"56",56,"2017-8",38743
"57",57,"2017-9",40534
"58",58,"2017-10",38593
"59",59,"2017-11",37250
"60",60,"2017-12",34029
"61",61,"2018-1",28678
"62",62,"2018-2",27916
"63",63,"2018-3",32786
"64",64,"2018-4",27912
"65",65,"2018-5",36865
"66",66,"2018-6",47648
"67",67,"2018-7",30405
"68",68,"2018-8",12743
"69",69,"2018-9",11330
"70",70,"2018-10",8065
"71",71,"2018-11",5324
"72",72,"2018-12",7148
"73",73,"2019-1",6537
"74",74,"2019-2",8890
"75",75,"2019-3",22762
"76",76,"2019-4",22461
"77",77,"2019-5",14916
"78",78,"2019-6",7319
"79",79,"2019-7",13064
"80",80,"2019-8",34148
"81",81,"2019-9",57811
"82",82,"2019-10",50411
"83",83,"2019-11",43911
"84",84,"2019-12",50278
"85",85,"2020-1",42237
"86",86,"2020-2",43733
"87",87,"2020-3",43329
"88",88,"2020-4",17088
"89",89,"2020-5",18483
"90",90,"2020-6",101504
"91",91,"2020-7",130721
"92",92,"2020-8",76019
"93",93,"2020-9",35576
"94",94,"2020-10",25566
"95",95,"2020-11",24450
"96",96,"2020-12",14631
"97",97,"2021-1",10732
"98",98,"2021-2",14669
"99",99,"2021-3",21815
